Index,Series,Name,Code,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19
57,Current health expenditure (% of GDP),Gabon,GAB,2.47556782,2.55771661,2.42097521,2.8408711,2.53282118,2.6574378,3.10769749,2.78068829,2.74500299,2.76836205
58,Current health expenditure (% of GDP),"Gambia, The",GMB,5.08982468,5.49951601,5.1643424,3.91374874,4.451684,3.17612934,3.68266177,4.14472675,4.8878727,3.82171082
59,Current health expenditure (% of GDP),Georgia,GEO,9.07341194,8.0144434,8.04715919,7.88304806,7.90386868,7.42301512,7.99670744,7.05804443,7.11329746,6.65744257
60,Current health expenditure (% of GDP),Germany,DEU,11.09557819,10.77818966,10.85323715,10.99795437,11.02157784,11.18370342,11.23563671,11.32935143,11.45038891,11.69724941
61,Current health expenditure (% of GDP),Ghana,GHA,4.25117254,4.71008253,4.03214407,4.62300539,4.10044813,4.62171459,3.46157742,3.35796332,3.48865867,3.41858864
62,Current health expenditure (% of GDP),Greece,GRC,9.59662342,9.19330311,8.92377281,8.36682224,7.90779018,8.06892395,8.32109451,8.10309219,7.95876884,7.83788586
63,Current health expenditure (% of GDP),Grenada,GRD,5.41881227,5.80423355,5.82235813,5.62652922,4.77353573,4.64675617,4.43910027,4.65701056,4.57647324,4.96524
64,Current health expenditure (% of GDP),Guatemala,GTM,6.12487125,5.96316576,6.07307673,5.77188921,5.8885684,6.00602055,6.07008219,6.13921785,6.12415409,6.21161032
65,Current health expenditure (% of GDP),Guinea,GIN,3.42734981,3.78955078,3.50398302,3.46079683,4.78097677,5.80920601,5.39708233,3.91060591,3.63913226,3.98389959
66,Current health expenditure (% of GDP),Guinea-Bissau,GNB,6.2611661,6.21634817,5.94403839,7.03947115,9.96897316,8.13228226,8.32881451,7.00049543,7.62560892,8.34976101
67,Current health expenditure (% of GDP),Guyana,GUY,4.21897697,4.17213488,3.7081871,3.80231333,3.94755459,4.02264786,4.01842117,4.31911182,4.90492487,4.93048668
68,Current health expenditure (% of GDP),Haiti,HTI,4.62583256,5.91197777,5.56462383,4.21974993,4.62687111,5.06690121,4.90023947,4.78747177,4.57474232,4.72808981
69,Current health expenditure (% of GDP),Honduras,HND,8.72536373,8.79187012,8.65655136,8.47723007,7.91455746,7.48378992,7.69098616,6.98996687,7.21891975,7.2839179
70,Current health expenditure (% of GDP),Hungary,HUN,7.46319818,7.49094248,7.43017483,7.24897766,7.06011677,6.85949564,6.99535179,6.75595856,6.54620171,6.35002232
71,Current health expenditure (% of GDP),Iceland,ISL,8.36173058,8.20293236,8.18118858,8.17555237,8.22888947,8.06978989,8.09714699,8.30908108,8.44292068,8.63868046
72,Current health expenditure (% of GDP),India,IND,3.27211905,3.24634194,3.32935309,3.74944162,3.61956549,3.59565997,3.50430417,2.93597651,2.95175385,3.0141468
73,Current health expenditure (% of GDP),Indonesia,IDN,2.7908783,2.98942471,2.91427088,2.86934805,2.96433592,2.92428517,3.02147222,2.90417194,2.86757827,2.90493584
74,Current health expenditure (% of GDP),Iran,IRN,6.69382286,6.57423449,6.58410263,5.93868208,6.75900412,7.53802347,8.57090187,8.42790699,8.4627676,6.71061659
75,Current health expenditure (% of GDP),Iraq,IRQ,3.23055601,2.79131818,2.69039416,2.81939769,2.79654908,3.14434433,3.492342,4.19215298,4.24407291,4.47671509
76,Current health expenditure (% of GDP),Ireland,IRL,10.50632477,10.676898,10.65266323,10.29696083,9.53489971,7.31605005,7.4248991,7.06397724,6.86017275,6.67931509
77,Current health expenditure (% of GDP),Israel,ISR,7.01663876,6.99058676,7.11508703,7.07797098,7.14262056,7.09919786,7.17326927,7.28954744,7.53235054,7.46131897
78,Current health expenditure (% of GDP),Italy,ITA,8.91602039,8.77413177,8.78352833,8.77543831,8.86791897,8.85689163,8.72533035,8.6777401,8.67509365,8.66856861
79,Current health expenditure (% of GDP),Jamaica,JAM,5.29506874,5.23800802,4.88511038,4.95442057,5.16565466,5.62469387,5.70086861,6.14843798,5.96785641,6.09748316
80,Current health expenditure (% of GDP),Japan,JPN,9.0630064,10.48780155,10.67169189,10.67438602,10.7290144,10.74969959,10.65891647,10.65627003,10.74838829,10.74372482
81,Current health expenditure (% of GDP),Jordan,JOR,8.17025661,8.14807701,7.81799555,7.1659236,7.20892906,7.4609561,7.15642214,7.98199606,7.78079128,7.58246946
82,Current health expenditure (% of GDP),Kazakhstan,KAZ,2.73641348,2.60236716,3.03725958,2.66286707,2.97468472,3.04051137,3.42235565,3.05244446,2.8178606,2.78745675
83,Current health expenditure (% of GDP),Kenya,KEN,6.11675262,5.81170082,5.61369753,5.51942158,5.4593358,5.21938562,5.14090776,4.1409831,4.30564117,4.59182692
84,Current health expenditure (% of GDP),Kiribati,KIR,9.20724678,8.58405113,8.59842396,9.46005249,9.93768883,7.98818541,9.32036781,10.68678665,11.6983633,10.26414394
85,Current health expenditure (% of GDP),"Korea, Rep.",KOR,5.91734409,6.00844383,6.13262033,6.24789429,6.47438097,6.65271664,6.91432714,7.10694933,7.54388428,8.1641655
86,Current health expenditure (% of GDP),Kuwait,KWT,2.67879915,2.33303523,2.33311439,2.48789287,2.9159987,4.21497965,4.73096323,4.65326786,5.09953451,5.49601221
87,Current health expenditure (% of GDP),Kyrgyz Republic,KGZ,6.95027208,7.10729122,8.50966358,8.18745136,7.35766459,7.14930916,6.41248226,6.18586302,5.01030922,4.49454117
88,Current health expenditure (% of GDP),Lao PDR,LAO,2.91155243,1.94457507,2.07637596,2.39984989,2.29845548,2.45366454,2.36087489,2.52606821,2.24630332,2.59852362
89,Current health expenditure (% of GDP),Latvia,LVA,6.11952686,5.54237556,5.38090277,5.36752796,5.46614885,5.65469503,6.13591957,5.97031736,6.19103575,6.57814217
90,Current health expenditure (% of GDP),Lebanon,LBN,7.43862009,8.17742538,7.00111389,7.0635767,7.51670218,7.41442871,7.914958,7.7873559,8.67463875,8.64661503
91,Current health expenditure (% of GDP),Lesotho,LSO,8.41961861,9.56151676,9.25281525,9.5466814,9.17449284,8.99539375,8.75972462,10.08778667,10.90125179,11.26946354
92,Current health expenditure (% of GDP),Liberia,LBR,8.94644737,9.4238615,8.7670517,8.28010082,9.20679283,10.63758373,9.85343266,9.09297276,9.03880787,8.47005749
93,Current health expenditure (% of GDP),Lithuania,LTU,6.81462288,6.4878149,6.2759347,6.12593651,6.19332647,6.49043989,6.63746214,6.47513723,6.53385353,7.00600433
94,Current health expenditure (% of GDP),Luxembourg,LUX,7.03158236,6.11205053,5.58377266,5.52774715,5.43687868,5.28378248,5.19496346,5.25779152,5.28587103,5.37075996
95,Current health expenditure (% of GDP),Madagascar,MDG,4.65100336,4.43843079,3.82249737,3.73896837,4.42833662,4.97224474,5.25697422,4.84431553,4.19787312,3.68728375
96,Current health expenditure (% of GDP),Malawi,MWI,7.24138308,7.49375153,8.47898579,11.57910728,9.71205044,9.33334064,10.87966633,10.88755989,9.82898998,7.39341164
97,Current health expenditure (% of GDP),Malaysia,MYS,3.16474295,3.31451941,3.45786357,3.51275206,3.71036983,3.81819606,3.68569684,3.70413661,3.74833083,3.82514191
98,Current health expenditure (% of GDP),Maldives,MDV,8.48759079,7.92251587,8.67304802,8.13609314,7.90784121,8.6903019,10.28107738,9.24117565,7.65245056,8.04001141
99,Current health expenditure (% of GDP),Mali,MLI,4.67865038,4.01483822,3.7521615,3.96750712,4.48156309,4.11143351,3.77377391,3.67425632,3.73249865,3.89389849
100,Current health expenditure (% of GDP),Malta,MLT,7.95211124,8.4481411,8.37802982,8.49665737,9.08505249,8.89759541,8.94369507,8.89494133,8.81080437,8.21444321
101,Current health expenditure (% of GDP),Mauritania,MRT,2.63619399,2.47383666,2.64919353,2.86799884,3.46724391,3.67363763,3.09649324,3.33722878,3.57909012,3.30329728
103,Current health expenditure (% of GDP),Mexico,MEX,5.73688889,5.51883602,5.66522121,5.80923605,5.55341005,5.72277403,5.55345869,5.45759058,5.37870932,5.43305254
104,Current health expenditure (% of GDP),"Micronesia, Fed. Sts.",FSM,13.10624504,13.09527493,12.2770977,12.13848686,11.73216343,12.45648766,13.13922405,12.21438789,11.70362568,11.4420805
105,Current health expenditure (% of GDP),Moldova,MDA,10.13112831,9.09670353,9.13962078,8.68300343,8.63275719,8.55763531,7.53552246,7.01328516,6.58753443,6.3779459
106,Current health expenditure (% of GDP),Mongolia,MNG,3.73945618,3.58612156,3.85493326,4.06616068,4.1765728,4.23834085,4.42355633,4.0050602,3.85443377,3.76607823
107,Current health expenditure (% of GDP),Morocco,MAR,5.86408854,5.7329936,5.74942255,5.68743515,5.27820778,5.06548977,5.23985195,5.23467541,5.33230448,5.30845118
108,Current health expenditure (% of GDP),Mozambique,MOZ,5.44726419,5.00311899,5.24640608,6.12555981,6.33231783,6.7166338,7.17241096,7.75916147,8.09185696,7.83351135
109,Current health expenditure (% of GDP),Myanmar,MMR,1.95585954,1.92666924,2.41021132,3.20071578,4.39346027,5.47780514,5.11349964,5.08065748,4.89992142,4.67856407
110,Current health expenditure (% of GDP),Namibia,NAM,9.72781372,9.83193302,9.26659298,9.06448746,8.40890884,9.98109627,9.3223238,8.72573948,8.31428051,8.49700546
111,Current health expenditure (% of GDP),Nepal,NPL,4.35166264,4.44234991,4.49078512,4.63011789,5.07548285,5.46615076,5.42379808,4.72173262,4.5284524,4.44515085
112,Current health expenditure (% of GDP),Netherlands,NLD,10.15515518,10.23353291,10.53905964,10.5835619,10.56706905,10.32393837,10.2942524,10.1082983,10.0318222,10.13031101
113,Current health expenditure (% of GDP),New Zealand,NZL,9.59277534,9.51987362,9.65163612,9.3601923,9.40168381,9.28344345,9.23865223,9.01967621,9.21034622,9.74117661
114,Current health expenditure (% of GDP),Nicaragua,NIC,7.71019173,7.44982004,7.48836899,7.6386919,7.97716141,7.96303225,8.04877567,8.33672619,8.58646584,8.4039259
115,Current health expenditure (% of GDP),Niger,NER,5.02160501,4.87324095,4.30732203,4.46635866,4.45376825,5.34746218,4.53239059,5.57411432,5.28845072,5.6686306
116,Current health expenditure (% of GDP),Nigeria,NGA,3.29653287,3.32077932,3.35984278,3.42069316,3.34840369,3.58194971,3.64773679,3.75336528,3.09069371,3.02666044
117,Current health expenditure (% of GDP),North Macedonia,MKD,6.71369648,6.51887369,6.61468363,6.7192831,6.28993368,6.34227896,6.37943363,6.5939827,6.55475044,7.25409985
118,Current health expenditure (% of GDP),Norway,NOR,8.90553188,8.78868103,8.77787876,8.92953396,9.34493351,10.13146877,10.59129524,10.31589031,10.02394581,10.52134705
119,Current health expenditure (% of GDP),Oman,OMN,2.82071519,2.54776597,2.5522778,2.79134297,3.52693391,4.3044014,4.35671568,3.97070861,4.10356855,4.07190228
120,Current health expenditure (% of GDP),Pakistan,PAK,2.59675789,2.34442639,2.35939932,2.6028018,2.72200799,2.68711925,2.89286923,2.90229392,3.20214486,3.37992716
121,Current health expenditure (% of GDP),Panama,PAN,7.08509684,6.59314489,6.56412029,6.65125561,6.92144489,6.8090291,7.32181311,6.90812922,7.28005838,7.58405781
122,Current health expenditure (% of GDP),Papua New Guinea,PNG,2.10756016,2.29397798,2.66693544,2.99727893,3.27119088,1.81881714,2.33063054,2.22970963,2.26630354,2.30036092
123,Current health expenditure (% of GDP),Paraguay,PRY,5.47032022,5.82928896,6.52922678,6.05105257,6.64387417,6.70042467,6.68209553,6.60703087,6.71837997,7.17281008
124,Current health expenditure (% of GDP),Peru,PER,4.71548748,4.53341627,4.74023867,4.76035166,4.978508,4.97963047,4.97274113,4.91776848,5.19757748,5.21506882
125,Current health expenditure (% of GDP),Philippines,PHL,4.1310792,4.02518606,4.1770916,4.27408791,3.70313644,3.89827442,3.95484376,3.960428,3.95381904,4.07676649
126,Current health expenditure (% of GDP),Poland,POL,6.41223288,6.2400856,6.22393656,6.41485739,6.38664055,6.39477158,6.53473806,6.5601325,6.32764196,6.44682503
127,Current health expenditure (% of GDP),Portugal,PRT,10.03250504,9.73071671,9.65393162,9.40486622,9.34288025,9.31645775,9.39439583,9.30583763,9.4126482,9.53145981
128,Current health expenditure (% of GDP),Qatar,QAT,1.87017775,1.59996212,1.74822152,2.07620168,2.42293572,3.00097346,3.24747443,2.977561,2.62514997,2.9106288
129,Current health expenditure (% of GDP),Romania,ROU,5.76614237,4.70199966,4.73353195,5.19664145,5.02168465,4.94721556,5.00346899,5.1508317,5.56050777,5.74447823
130,Current health expenditure (% of GDP),Russian Federation,RUS,4.97111845,4.79491472,4.93637609,5.08104849,5.18209696,5.29604387,5.28970242,5.35889769,5.35520792,5.64849138
131,Current health expenditure (% of GDP),Rwanda,RWA,8.05313301,7.90435696,8.06890869,6.74579239,6.95749235,6.62107325,6.92619371,6.38999128,6.6816082,6.41066742
132,Current health expenditure (% of GDP),Samoa,WSM,5.29189062,5.4401269,5.07944012,6.44957209,6.60753155,5.78755045,5.4250021,5.56750727,5.47191095,6.36309385
133,Current health expenditure (% of GDP),Sao Tome and Principe,STP,6.84464884,6.75577354,6.47629499,7.93743801,6.73101854,5.34009647,6.43088818,6.46091604,5.84369802,5.52976227
134,Current health expenditure (% of GDP),Saudi Arabia,SAU,3.647856,3.71177721,4.01962376,4.46568298,5.22795486,5.9983449,5.83562946,6.26256323,5.74845695,5.68828773
135,Current health expenditure (% of GDP),Senegal,SEN,4.02764177,4.21416569,4.26687956,4.38575172,4.39605808,4.38257313,4.26078129,3.99707484,4.23825741,4.13226938
136,Current health expenditure (% of GDP),Serbia,SRB,9.52071667,9.10749245,9.32176399,9.30588913,9.23958969,8.8132,8.4589138,8.22039318,8.5316782,8.67206478
137,Current health expenditure (% of GDP),Seychelles,SYC,4.82908678,4.80053091,5.73247576,4.50912476,4.7388773,4.5895319,5.18561649,4.90735865,5.26916742,5.1902914
138,Current health expenditure (% of GDP),Sierra Leone,SLE,10.94338036,13.28134346,10.59041977,11.56772041,19.72741699,20.413414,16.5259552,9.39976025,8.28987408,8.74976635
139,Current health expenditure (% of GDP),Singapore,SGP,3.20265365,3.15792179,3.32783675,3.68562651,3.87155676,4.18069839,4.39192295,4.36418819,4.08520222,4.08152914
140,Current health expenditure (% of GDP),Slovak Republic,SVK,7.73118067,7.3478632,7.54334021,7.49961424,6.89176321,6.7925415,7.11029387,6.77144289,6.70504332,6.9586463
141,Current health expenditure (% of GDP),Slovenia,SVN,8.56503296,8.53639603,8.71509933,8.74028301,8.50197506,8.49823952,8.4630394,8.18522835,8.27940369,8.52386475
142,Current health expenditure (% of GDP),Solomon Islands,SLB,8.38949013,6.01607323,4.99881887,4.7872014,5.06938744,4.63923359,4.51225424,4.22589684,3.99611521,4.77362394
143,Current health expenditure (% of GDP),South Africa,ZAF,8.66596985,8.74146175,8.77310753,8.85552406,8.55091476,8.79018974,8.82142925,8.72262383,8.85829735,9.10935497
144,Current health expenditure (% of GDP),Spain,ESP,9.1185751,9.16859245,9.15699196,9.06737709,9.08936405,9.12617207,8.9523859,8.9569416,8.99036121,9.13213158
145,Current health expenditure (% of GDP),Sri Lanka,LKA,3.86745453,3.71693492,3.40384722,3.82698822,3.60648084,3.88992095,3.86425042,3.59565234,3.91227865,4.07979679
146,Current health expenditure (% of GDP),St. Lucia,LCA,5.0379777,5.14028311,5.00246382,5.14402056,4.75532579,4.5808239,4.91194296,4.65729332,4.41556692,4.32460737
147,Current health expenditure (% of GDP),St. Vincent and the Grenadines,VCT,4.55129242,4.46511078,4.68828583,4.56956387,4.35374546,4.08409452,4.16448689,4.32440805,4.51017952,4.75291252
148,Current health expenditure (% of GDP),Sudan,SDN,5.05810213,5.61579561,5.68827009,6.96487522,5.67619705,7.26747084,5.48409986,6.05546141,4.43653536,4.57356596
149,Current health expenditure (% of GDP),Suriname,SUR,5.03042459,4.72143984,4.58755207,4.80475569,4.84127617,6.21926689,6.35384083,5.9441762,7.8974061,9.7369957
150,Current health expenditure (% of GDP),Sweden,SWE,8.31963825,10.41646767,10.73515224,10.9049139,10.9479475,10.80418396,10.85240364,10.78509998,10.94106293,10.86749268
151,Current health expenditure (% of GDP),Switzerland,CHE,9.94159698,10.0191288,10.24875641,10.46214485,10.61642265,11.00794983,11.30005455,11.48099899,11.37997055,11.29148102
152,Current health expenditure (% of GDP),Tajikistan,TJK,5.73543406,5.85971785,5.98185873,6.53226376,6.6654973,6.9073596,7.00427723,7.2288146,7.2394805,7.10529375
153,Current health expenditure (% of GDP),Tanzania,TZA,5.22392178,5.05598497,5.01779366,4.64643383,4.01492023,3.64969921,3.9635036,4.08257437,4.15363026,3.82769322
154,Current health expenditure (% of GDP),Thailand,THA,3.39009833,3.56825471,3.5229404,3.45313334,3.68448091,3.66788888,3.7540946,3.84309888,3.8184948,3.78912091
155,Current health expenditure (% of GDP),Timor-Leste,TLS,6.47058773,6.78081751,7.06785393,8.5323782,7.60483742,7.67216587,6.89625216,6.7448473,7.61165237,7.15850592
156,Current health expenditure (% of GDP),Togo,TGO,4.45492935,4.55412006,4.80786562,4.94373512,5.07536507,4.9564662,5.35245514,6.49387741,6.08747768,5.72606897
157,Current health expenditure (% of GDP),Tonga,TON,4.98202562,4.00464964,5.0140667,4.23476315,5.29359198,4.68395281,5.04334545,5.09755182,5.05481672,4.98149967
158,Current health expenditure (% of GDP),Trinidad and Tobago,TTO,5.08042908,4.72197914,4.87719965,5.02981281,5.20177984,6.07862949,6.83270836,6.99457884,6.70954943,7.02007389
159,Current health expenditure (% of GDP),Tunisia,TUN,5.88395596,6.43202877,6.6064229,6.85662031,6.80739641,6.62154102,6.60998964,6.84927845,6.82099104,6.95845938
160,Current health expenditure (% of GDP),Turkey,TUR,5.02053452,4.6530509,4.44444656,4.37099981,4.32517862,4.11690378,4.28469229,4.17974997,4.12414074,4.34409809
161,Current health expenditure (% of GDP),Turkmenistan,TKM,4.9963603,4.89650869,4.77595139,5.15063286,5.49777317,6.29793644,6.62305355,6.93536758,6.60684919,6.56862497
